Num,age,invest,Reciprocation,SRS,tiles,SCQ,AQ,Uncertainty
5,151,0.1,LOW,48,13.1,0,0,LOW
5,151,0,LOW,48,16.1,0,0,MEDIUM
5,151,0,LOW,48,20,0,0,HIGH
5,151,0.6,HIGH,48,22.4,0,0,HIGH
5,151,1,HIGH,48,18.5,0,0,MEDIUM
5,151,1,HIGH,48,13.8,0,0,LOW
8,139,0,LOW,14,22.3,0,0,LOW
8,139,0.1,LOW,14,23.6,0,0,MEDIUM
8,139,0.2,LOW,14,21.8,0,0,HIGH
8,139,0.6,HIGH,14,22.1,0,0,HIGH
8,139,0.9,HIGH,14,22.1,0,0,MEDIUM
8,139,1,HIGH,14,20,0,0,LOW
9,143,0,LOW,5,14.6,0,0,LOW
9,143,0,LOW,5,16.8,0,0,MEDIUM
9,143,0.5,LOW,5,16.2,0,0,HIGH
9,143,0.9,HIGH,5,17,0,0,HIGH
9,143,0.9,HIGH,5,15.1,0,0,MEDIUM
9,143,1,HIGH,5,13.5,0,0,LOW
10,139,0,LOW,12,22.9,0,0,LOW
10,139,0.3,LOW,12,19,0,0,MEDIUM
10,139,0.4,LOW,12,19.9,0,0,HIGH
10,139,0.6,HIGH,12,23,0,0,HIGH
10,139,1,HIGH,12,23.2,0,0,MEDIUM
10,139,1,HIGH,12,20.6,0,0,LOW
15,154,0.1,LOW,25,5.8,0,0,LOW
15,154,0.4,LOW,25,5.8,0,0,MEDIUM
15,154,0.8,LOW,25,5.5,0,0,HIGH
15,154,0.8,HIGH,25,6.6,0,0,HIGH
15,154,1,HIGH,25,5,0,0,MEDIUM
15,154,1,HIGH,25,5.3,0,0,LOW
18,141,0.1,LOW,25,14.1,0,0,LOW
18,141,0.2,LOW,25,19.5,0,0,MEDIUM
18,141,0.2,LOW,25,17.6,0,0,HIGH
18,141,0.9,HIGH,25,16.8,0,0,HIGH
18,141,0.8,HIGH,25,8.1,0,0,MEDIUM
18,141,0.9,HIGH,25,18.5,0,0,LOW
21,152,0,LOW,28,7.1,0,0,LOW
21,152,0,LOW,28,12.4,0,0,MEDIUM
21,152,0.3,LOW,28,16.5,0,0,HIGH
21,152,0.6,HIGH,28,18.7,0,0,HIGH
21,152,0.9,HIGH,28,12.6,0,0,MEDIUM
21,152,1,HIGH,28,10.8,0,0,LOW
24,143,0,LOW,11,10.1,0,0,LOW
24,143,0.1,LOW,11,8.4,0,0,MEDIUM
24,143,0.3,LOW,11,10.4,0,0,HIGH
24,143,0.7,HIGH,11,13.5,0,0,HIGH
24,143,0.8,HIGH,11,10.9,0,0,MEDIUM
24,143,1,HIGH,11,10.8,0,0,LOW
26,141,0.7,LOW,24,4.7,0,0,LOW
26,141,1,LOW,24,2,0,0,MEDIUM
26,141,0.9,LOW,24,4.1,0,0,HIGH
26,141,1,HIGH,24,1.7,0,0,HIGH
26,141,1,HIGH,24,2.2,0,0,MEDIUM
26,141,1,HIGH,24,1.777777778,0,0,LOW
31,142,0.1,LOW,16,17.9,0,0,LOW
31,142,0,LOW,16,20.1,0,0,MEDIUM
31,142,0.1,LOW,16,23.4,0,0,HIGH
31,142,0.8,HIGH,16,24.3,0,0,HIGH
31,142,1,HIGH,16,23.3,0,0,MEDIUM
31,142,0.9,HIGH,16,18.9,0,0,LOW
36,144,0.8,LOW,52,12.6,0,0,LOW
36,144,0.5,LOW,52,14.5,0,0,MEDIUM
36,144,0.9,LOW,52,16.6,0,0,HIGH
36,144,0.5,HIGH,52,19.9,0,0,HIGH
36,144,0.3,HIGH,52,19.1,0,0,MEDIUM
36,144,0.2,HIGH,52,13.9,0,0,LOW
