Num,age,invest,Reciprocation,SRS,tiles,SCQ,AQ,Uncertainty
33,100,0,LOW,32,23.2,0,0,LOW
33,100,0,LOW,32,24.3,0,0,MEDIUM
33,100,0.4,LOW,32,20.1,0,0,HIGH
33,100,0.9,HIGH,32,25,0,0,HIGH
33,100,1,HIGH,32,20.2,0,0,MEDIUM
33,100,1,HIGH,32,20.8,0,0,LOW
30,102,0,LOW,73,1,0,0,LOW
30,102,0.3,LOW,73,1.1,0,0,MEDIUM
30,102,0.4,LOW,73,6.7,0,0,HIGH
30,102,0.7,HIGH,73,0.8,0,0,HIGH
30,102,0.8,HIGH,73,0.9,0,0,MEDIUM
30,102,1,HIGH,73,1,0,0,LOW
22,103,0,LOW,37,19.9,0,0,LOW
22,103,0.1,LOW,37,21.8,0,0,MEDIUM
22,103,0.1,LOW,37,24.7,0,0,HIGH
22,103,0.7,HIGH,37,23.5,0,0,HIGH
22,103,0.8,HIGH,37,25,0,0,MEDIUM
22,103,0.9,HIGH,37,24.6,0,0,LOW
11,105,0.5,LOW,42,2.2,0,0,LOW
19,105,0,LOW,32,24.8,0,0,LOW
11,105,0.9,LOW,42,2.1,0,0,MEDIUM
19,105,0.9,LOW,32,15.9,0,0,MEDIUM
11,105,0.6,LOW,42,1.9,0,0,HIGH
19,105,1,LOW,32,7.5,0,0,HIGH
11,105,0.6,HIGH,42,2.3,0,0,HIGH
19,105,1,HIGH,32,5.9,0,0,HIGH
11,105,0.5,HIGH,42,2,0,0,MEDIUM
19,105,1,HIGH,32,5,0,0,MEDIUM
11,105,0.6,HIGH,42,2.1,0,0,LOW
19,105,1,HIGH,32,4.3,0,0,LOW
2,107,0.1,LOW,20,17.3,0,0,LOW
35,107,0.2,LOW,3,23.1,0,0,LOW
2,107,0,LOW,20,22,0,0,MEDIUM
35,107,0.1,LOW,3,25,0,0,MEDIUM
2,107,0.2,LOW,20,19.9,0,0,HIGH
35,107,0.3,LOW,3,25,0,0,HIGH
2,107,0.8,HIGH,20,22.4,0,0,HIGH
35,107,0.8,HIGH,3,24.4,0,0,HIGH
2,107,0.9,HIGH,20,22.8,0,0,MEDIUM
35,107,1,HIGH,3,25,0,0,MEDIUM
2,107,0.9,HIGH,20,15.8,0,0,LOW
35,107,0.9,HIGH,3,22.6,0,0,LOW
27,108,0.4,LOW,51,6.4,0,0,LOW
27,108,0.6,LOW,51,13.8,0,0,MEDIUM
27,108,0.6,LOW,51,11.5,0,0,HIGH
27,108,0.8,HIGH,51,13.7,0,0,HIGH
27,108,0.7,HIGH,51,8.6,0,0,MEDIUM
27,108,0.5,HIGH,51,7.5,0,0,LOW
6,110,0.1,LOW,37,16.8,0,0,LOW
32,110,0.3,LOW,48,17.5,0,0,LOW
6,110,0.3,LOW,37,20.4,0,0,MEDIUM
32,110,0.1,LOW,48,19.8,0,0,MEDIUM
6,110,0.6,LOW,37,19.2,0,0,HIGH
32,110,0.2,LOW,48,22.9,0,0,HIGH
6,110,0.8,HIGH,37,19.9,0,0,HIGH
32,110,0.8,HIGH,48,22.4,0,0,HIGH
6,110,0.9,HIGH,37,17.5,0,0,MEDIUM
32,110,1,HIGH,48,18.8,0,0,MEDIUM
6,110,0.8,HIGH,37,19.7,0,0,LOW
32,110,1,HIGH,48,17,0,0,LOW
4,112,0,LOW,16,25,0,0,LOW
4,112,0,LOW,16,24.3,0,0,MEDIUM
4,112,0.1,LOW,16,25,0,0,HIGH
4,112,0.8,HIGH,16,25,0,0,HIGH
4,112,1,HIGH,16,24.1,0,0,MEDIUM
4,112,1,HIGH,16,25,0,0,LOW
